stats,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8
mean,0.69460501,-0.005339014,0.893758903,0.843130551,-0.051885021,0.162883753,0.641998327,0.454227787,0.767106396
std,0.460796539,0.876876066,0.239726746,0.281153876,0.933523944,0.249724664,0.335198215,0.317974205,0.301836902
