stats,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
mean,0.469506,0.980627,0.126129,0.011435,0.855584,0.851367,0.076864,0.033660,0.136364,0.010941,0.989279
std,0.021570,0.137834,0.937364,0.021114,0.243982,0.249228,0.075662,0.075609,0.186266,0.046576,0.095553
