stats,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
mean,0.351292,0.971393,-0.549771,-0.733798,0.753643,0.752401,0.182373,0.080049,0.173421,0.068146,1.003614
std,0.121278,0.166701,0.78109,0.454443,0.30339,0.305317,0.282908,0.183039,0.287067,0.183222,0.195767
