filename,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,label
medical_cost_personal,0,0.5296646573394087,0.22510570579430578,0.1933909693346033,1.3850214683034068,0.035508874,0.8410022282940469,0.6854461516675501,0.007825379,0.013434210903377309
real_estate_price_prediction,1,0.6687447412790231,0.9246288670757101,1,1.962891478017212,0.2561921422659608,0.7789546809552739,0.369402102,0.087490606,0.004977783
real_estate_price_prediction,1,-1,0.999984396,1,-1,0.542645485,0.8708060777380195,0.6265493339612425,-0.210567046,0.038170541
real_estate_price_prediction,1,-1,1,1,-1,1,1,1,-0.673612855,0.19391457093871575
real_estate_price_prediction,1,0.9101810758909892,1,1,1.8710458365139566,0.5897121954010082,0.672235854,0.19111275310184814,0.5710049111111483,0.001871216
real_estate_price_prediction,1,-1,1,1,-1,0.49433632852594245,0.8448155640925243,0.6089180250477958,0.5463066525035893,0.054887066570934465
real_estate_price_prediction,1,-1,1,1,-1,0.03292355,0.7903434256282568,0.2808329670729885,0.5232865070287726,0.011254764
walmart,1,-1,1,1,-1,1,1,1,-0.335332015,0.7354726922534841
walmart,1,0.5058610201786966,0.9969213007361976,1,0.2534580219841465,0.093197018,0.8300989684165061,0.7224067251459495,0.036890968,0.00374176
walmart,1,-1,0.9999996992352375,1,-1,0.090014276,0.8911844876959909,0.7508793624175075,-0.063810013,0.01621884
walmart,1,-1,0.5521712510483894,1,-1,0.022038169943587555,0.9003795123096416,0.7815102195902918,0.009463786,0.020009650633183194
walmart,1,-1,0.9999999945617074,1,-1,0.45672587006153287,0.9566637697803579,0.9372008777167554,-0.072634162,0.43832662016358853
walmart,1,-1,1,1,-1,0.20536546701829783,0.9418684288061385,0.837401247,-0.10617609,0.068213335
car_purchasing,0,0,0.7239067123021435,0.23930675166596493,0,0.00027587,0,0,-0.048800824,0
car_purchasing,1,0.5210283955187986,0.8618824494931523,1,0.6930751788318457,0.001887503,0.7026885746509887,0.39868508181505213,-0.066407508,3.7991322477460196e-06
car_purchasing,1,-1,1,1,-1,1,0.9993242744924181,1,0.6332725400877977,0.15595365815237974
car_purchasing,1,-1,1,1,-1,0.9803747629613159,1,0.997807351,0.6178616932472547,0.15605966213151753
car_purchasing,1,-1,0.4806506494536045,1,-1,0.002902306,0.7899588147814641,0.5266221283460563,0.028882426561514185,0.0009557
car_purchasing,1,-1,1,1,-1,0.7482238618641146,0.9777285947867375,0.9636767896722711,0.48857995585435543,0.10926872186206449
fish_market,0,0.994751417,1,0.9999930202201377,1.3864087406268841,0.13951634776884936,0.7067939880058124,0.5066904919890974,0.7495117252748283,519932437473732.1
fish_market,1,-1,1,1,-1,1,0.8267769051759795,0.5764768177201651,0.9157117160312037,-3.70E+14
fish_market,1,-1,1,1,-1,0.17625249305139595,0.7590930701191019,0.3651934739515388,0.9186177013642215,-4.59E+11
fish_market,1,-1,1,1,-1,0.6882462453205108,0.9534976368479932,0.8767972050928995,0.923043559,-6.05E+14
fish_market,1,-1,1,1,-1,0.076157223,0.8325178559695634,0.7605849646933659,0.7243453291993317,-4.39E+14
fish_market,1,-1,1,1,-1,0.13642241396587515,1,1,0.8865066052433445,-6.63E+14
medical_insurance_payout,1,-1,1,1,-1,0.3777792054402391,0.9376111326290195,0.9058302518020802,0.29900819333064765,0.5711013258686631
medical_insurance_payout,0,0.5205634542745418,0.6829669061654017,0.20741024213888304,0.693092438,0.034102337,0.8038850384712334,0.591242423,0.027374463,0.004993245
medical_insurance_payout,1,-1,0.9999999999997541,1,-1,0.21076734682919576,0.9542186015501252,0.8616443881257896,0.19834096883362884,0.075432182
medical_insurance_payout,1,0.5367463184644475,0.9871478714798532,1,1.3984434283490517,0.056622377,0.8581513124643788,0.7484923796921784,0.067998227,0.083502849
medical_insurance_payout,0,0.5205634542745418,1,0.15965649594098752,0.5069623513566166,1,1,1,0.782576465,0.8830641138999495
medical_insurance_payout,0,0.5296646573394087,0.22510570579430578,0.1933909693346033,1.3850214683034068,0.035508874,0.8410022282940469,0.6854461516675501,0.007825379,0.013434210903377309
FEA_analysis,1,-1,0.98773737,0.9999999999574017,-1,0.2590671738033114,0.8635647165211218,0.6115619156874045,0.1251238414787631,0.1260673014253732
FEA_analysis,1,-1,1,0.999625703,-1,1,1,1,-0.515734436,0.940122136
FEA_analysis,1,-1,0.9999999999967026,0.9867196360821581,-1,0.6449159248295505,0.9737089815390508,0.8771590924129756,0.3389228100522701,0.6281394576937764
FEA_analysis,1,-1,0.15460281611118354,0.9999999998141311,-1,0.033338956466633166,0.7235839420791222,0.24848325042565172,-0.009780103,0.010928914
FEA_analysis,1,-1,0.045621669794034925,0.9999998809759916,-1,0.050235671297020855,0.7934276802926024,0.4541550577366328,-0.002869448,0.043965519
FEA_analysis,1,-1,0.7100349086503766,1,-1,0.14220537266177508,0.7904332304296239,0.4214374525832994,-0.053038646,0.048732912184376934
motorcycle,0,1,1,0.8549954572552247,2.4552378619788584,0.4739697701056379,0.9711178467077171,0.969329501,0.5555621844339403,0.18075142711145684
motorcycle,1,-1,1,1,-1,0.39479666319632606,0.9642874420662555,1,0.4021884006147436,0.27684755759508445
motorcycle,0,5.116405614780106e-05,0.9437736244421053,0.9993544525639779,0.011977680315749688,0.056549049391192485,0,0,0.058634015295563224,0
motorcycle,0,0.9999999999985738,0.22992278736473593,0.9993229481145377,0.09687353,0.035119034,0.8097154387004853,0.6335610718217012,-0.008983298,-0.001783025
